Symbol,Names
OPTT,Ocean Power Technologies Inc
NMRD,Nemaura Medical Inc.
FNKO,Funko Inc.
KLXE,KLX Energy Services Holdings Inc.
BBI,Brickell Biotech Inc.
WMG,Warner Music Group Corp.
SDC,SmileDirectClub Inc.
CIIC,CIIG Merger Corp.
TWST,Twist Bioscience Corporation
SCOR,comScore Inc.
AKTX,Akari Therapeutics Plc.
CVCO,Cavco Industries Inc.
FARO,FARO Technologies Inc.
BBQ,BBQ Holdings Inc.
FNLC,The First Bancorp Inc.
CMRX,Chimerix Inc.
TSLA,Tesla Inc.
NVCN,Neovasc Inc.
FEYE,FireEye Inc.
AGLE,Aeglea BioTherapeutics Inc.
FRSX,Foresight Autonomous Holdings Ltd.
ACCD,Accolade Inc.
IFRX,InflaRx N.V.
ATEC,Alphatec Holdings Inc.
SLAB,Silicon Laboratories Inc.146
FARM,Farmer Bros. Co.
EXAS,Exact Sciences Corporation
NMRK,Newmark Group Inc.
NVCR,NovoCure Limited
FRTA,Forterra Inc.
