Stock,Price 31.10,Price 30.11,Return,Weight in portfolio
OPTT,1.69,3.05,0.8047,0.0792
FNKO,6.34,9.35,0.4748,0.0355
WMG,26.53,28.35,0.0686,0.0
SDC,8.9,12.18,0.3685,0.0474
CIIC,10.03,24.1,1.4028,0.0
TWST,76.64,114.67,0.4962,0.0197
AKTX,1.5,1.57,0.0467,0.0
CVCO,172.14,187.52,0.0893,0.0
FARO,60.24,66.81,0.1091,0.0
BBQ,4.2,4.55,0.0833,0.1222
FNLC,23.13,25.19,0.0891,0.0
TSLA,388.04,585.76,0.5095,0.1949
FEYE,13.84,15.36,0.1098,0.0385
ACCD,35.02,51.84,0.4803,0.0183
IFRX,3.82,3.98,0.0419,0.0
ATEC,8.54,10.6,0.2412,0.1592
EXAS,123.83,118.19,-0.0455,0.1453
NMRK,4.735,7.18,0.5164,0.0
NVCR,122.1,126.84,0.0388,0.1076
FRTA,13.05,18.91,0.449,0.0322
