Stock,Price 31.10,Price 30.11,Return,Weight in portfolio
OPTT,1.69,2.845,0.6834,0.0792
FNKO,6.34,8.83,0.3927,0.0355
WMG,26.53,30.12,0.1353,0.0
SDC,8.9,12.4701,0.4011,0.0474
CIIC,10.03,21.82,1.1755,0.0
TWST,76.64,110.565,0.4427,0.0197
AKTX,1.5,1.6058,0.0705,0.0
CVCO,172.14,180.6,0.0491,0.0
FARO,60.24,66.45,0.1031,0.0
BBQ,4.2,4.5,0.0714,0.1222
FNLC,23.13,24.64,0.0653,0.0
TSLA,388.04,582.58,0.5013,0.1949
FEYE,13.84,15.07,0.0889,0.0385
ACCD,35.02,51.66,0.4752,0.0183
IFRX,3.82,4.165,0.0903,0.0
ATEC,8.54,10.55,0.2354,0.1592
EXAS,123.83,120.24,-0.029,0.1453
NMRK,4.735,7.07,0.4931,0.0
NVCR,122.1,123.075,0.008,0.1076
FRTA,13.05,18.52,0.4192,0.0322
